일련번호	단어	감정범주	빈도	감정정도M	감정정도STD
189	상실감	슬픔	80	7.13	2.22
190	상쾌하다	기쁨	96.3	6.71	2.76
191	상큼하다	기쁨	81.3	5.45	2.71
192	새파래지다	공포	63.7	7.55	2.13
193	서럽다	슬픔	95	7.38	2.05
194	서먹하다	지루함	43.8	5.37	2.67
195	서운하다	슬픔	90	5.89	2.55
196	설레다	기쁨	83.8	6.72	2.4
197	섬뜩하다	공포	91.3	8.05	1.96
198	섭섭하다	슬픔	86.3	5.24	2.58
199	섹시하다	흥미	72.5	7.16	2.32
200	소름끼치다	공포	77.5	7.05	2.3
201	속상하다	슬픔	92.5	6.46	2.67
202	속시원하다	기쁨	91.3	7.34	2.48
203	속썩이다	분노	55	5.25	2.78
204	속앓이	슬픔	81.3	6.49	2.52
205	송구하다	슬픔	45	4.86	2.67
206	쇼킹하다	놀람	91.3	8.37	1.82
207	숙연하다	슬픔	78.8	5.59	2.44
208	스산하다	공포	85	6.36	2.35
209	슬퍼하다	슬픔	98.8	8.46	1.98
210	신경질적	분노	90	6.52	2.72
211	신나다	기쁨	95	8.39	1.97
212	신명나다	기쁨	91.3	8.13	1.92
213	신바람나다	기쁨	97.5	7.86	2.22
214	신비롭다	흥미	63.7	7.33	2.19
215	신통찮다	지루함	31.3	5.4	2.1
216	실망하다	슬픔	72.5	5.1	2.49
217	싫증나다	지루함	66.3	7.86	2.06
218	심각하다	슬픔	38.8	4.4	2.4
219	심드렁하다	지루함	67.5	6.46	2.4
220	심란하다	슬픔	58.8	4.56	2.4
221	심려하다	슬픔	47.5	5.03	2.61
222	심술궂다	분노	53.8	4.47	2.56
223	심심하다	지루함	88.8	8.65	1.94
224	심통	분노	62.5	5.21	2.46
225	싱글벙글하다	기쁨	100	7.56	2.45
226	싸가지	분노	83.8	5.86	2.77
227	쌍년	분노	81.3	8.18	2.27
228	쌍놈	분노	78.8	7.52	2.47
229	쌩끗	기쁨	95	5.92	2.96
230	쓴웃음	슬픔	70	4.27	2.31
231	쓸쓸하다	슬픔	87.5	5.91	2.72
232	씁쓸하다	슬픔	83.8	5.4	2.52
233	씨부랄	분노	88.8	8.26	2.18
234	씨부렁거리다	분노	71.3	5.99	2.85
235	씩씩거리다	분노	90	6.84	2.35
236	씰룩거리다	기쁨	46.3	4.42	2.19
237	씹새끼	분노	76.3	8.44	2.06
238	아깝다	슬픔	52.5	4.6	2.58
239	아련하다	슬픔	80	5.62	2.45
240	아리송하다	흥미	41.3	4.2	1.84
241	아뿔싸	놀람	92.5	6.65	2.57
242	아쉽다	슬픔	60	4.55	2.95
243	아슬아슬하다	공포	40	3.71	2.29
244	아야	통증	72.5	6.3	2.77
245	아연실색하다	놀람	55	7.01	2.48
246	아으	분노	23.8	5.69	3.09
247	아이고	슬픔	70	5.54	2.81
248	아이씨	분노	80	5.66	3.3
249	아이쿠	놀람	80	5.89	2.6
250	아찔하다	공포	67.5	6.32	2.54
251	아차	놀람	83.8	5.86	2.56
252	아프다	통증	77.5	8.27	2.23
253	아하하	기쁨	88.8	6.71	3.09
254	아휴	슬픔	52.5	4.49	2.79
255	안쓰럽다	슬픔	86.3	5.38	2.77
256	안절부절하다	공포	38.8	4.28	2.37
257	안타깝다	슬픔	85	4.79	2.91
258	알쏭달쏭하다	흥미	53.8	5.87	1.9
259	암담하다	슬픔	65	5.82	2.53
260	암울하다	슬픔	86.3	7.52	2.26
261	앗	놀람	88.8	6.68	2.91
262	애끓다	슬픔	67.5	5.98	2.52
263	애달프다	슬픔	96.3	7.17	2.26
264	애도하다	슬픔	97.5	8.13	1.85
265	애석하다	슬픔	93.8	6.53	2.17
266	애잔하다	슬픔	95	6.21	2.28
267	애처롭다	슬픔	91.3	6.46	2.18
268	애통하다	슬픔	97.5	8.21	1.74
269	애틋하다	슬픔	51.2	5.6	2.39
270	야박하다	분노	55	5.05	2.89
271	야속하다	슬픔	67.5	5.73	2.41
272	약오르다	분노	78.8	5.92	2.8
273	얄밉다	분노	68.8	4.56	2.79
274	어리둥절하다	놀람	52.5	5.51	2.46
275	어색하다	지루함	56.3	5.56	3.17
276	어여쁘다	기쁨	77.5	6.08	2.81
277	어이없다	분노	50	4.55	2.59
278	언짢다	분노	57.5	4.47	2.43
279	얼떨떨하다	놀람	58.8	5.98	2.61
280	얼씨구	기쁨	52.5	6.6	2.6
281	역겹다	혐오	80	8.51	1.75
282	예쁘다	기쁨	80	6.87	3.01
283	옘병할	분노	85	7.82	2.39
284	오싹하다	공포	95	7.45	2.17
285	와들와들	공포	58.8	6.49	2.48
286	외롭다	슬픔	85	6.87	2.64
287	외톨이	슬픔	76.3	7.12	2.54
288	우라질	분노	88.8	7.29	2.57
289	우아하다	기쁨	50	5.63	2.97
290	우울하다	슬픔	97.5	7.23	2.65
291	울다	슬픔	96.3	8.27	2.2
292	울먹이다	슬픔	98.8	6.35	2.45
293	울며불며	슬픔	96.3	7.73	2.04
294	울부짖다	슬픔	91.3	8.05	2.31
295	울분	슬픔	87.5	7.73	1.93
296	울분	슬픔	87.5	7.73	1.93
297	울상	슬픔	96.3	6.39	2.63
298	울적하다	슬픔	96.3	7.08	2.3
